"uid","name","fundCodes","workDay","return","optimal","optimalName"
"30469693","单文","000263,001409,005833,005834,009867,009868,011304,011305,011474",1704,235.96,"000263","工银信息产业混合A"
"30073608","苏文杰","005660,005661",851,165.65,"005660","嘉实资源精选股票A"
"30325387","孙文龙","001218,010338,010339,010423,010424,121005,121006,161219",2220,261.74,"161219","国投瑞银新兴产业混合"
"30705531","沈夏","001916,002302,003664,003665",228,1.2,"002302","新沃通宝B"
"30037628","沈雪峰","001815,002082,009990,009991,010122,010123,011357,011358",3256,45.43,"001815","华泰柏瑞激励动力混合A"
"30424660","苏炫纲","002400,002401,002402,002403,007628,007629,007630,007631",1815,15.14,"002402","南方亚洲美元债美元现汇A"
"30040363","史向明","001991,001992,003050,003051,003691,005921,660002,660009,660016,660102,660109",4486,88.2,"660009","农银增强收益债券A"
"30717294","石霄蒙","006120,007175,008508",103,0.83,"007175","中融聚通定期开放债券"
"30709886","石晓冉","006225,006226,006600,006611,008300,008301",201,23.61,"006600","人保沪深300指数"
"30429976","是星涛","000849,000850,540009",1827,227.83,"540009","汇丰晋信消费红利股票"
"30685940","孙欣炎","003586,003587,004724,004725,006401,006402",470,59.31,"004724","先锋聚元灵活配置混合A"
"30693067","孙笑悦","000220,005176,009162,011151",317,66.04,"000220","富国医疗保健行业混合A"
"30141534","桑迎","000505,000506,000895,003422,003423,511970",3037,22.62,"000895","国寿安保薪金宝货币"
"30129488","石玉","000801,000802,000882,000883,003811,003812,005065,006096,006640,006641,008156,008157,009451",1680,15.1,"000801","中金纯债A"
"30506862","宋洋","001015,001016,003697,003826,003827,004202,004720,004721,005140,005141,005177,005178",1555,89.83,"001015","华夏沪深300指数增强A"
"30670927","史延","005138,005139,006145,006146",647,5.63,"006145","前海开源鼎欣债券A"
"30699211","沈悦","001810,001882,001891,002685,002686,004232,005764,166005,166020,166024",284,39.23,"001891","中欧成长优选混合E"
"30712522","孙悦","005561,005562,005567,005568,007354,007357",164,20.17,"005567","创金合信MSCI中国A股A"
"30180744","宋永安","005152,660006,660008,660011",3123,175.08,"660008","农银沪深300指数A"
"30349451","孙亚超","004212,004783",1108,26.72,"004212","中融量化智选混合A"
"30164252","神玉飞","010898,150968,519644",2983,156.3,"519644","银河智联混合"
"30063386","孙轶佳","005888,005889",1920,262.01,"005888","华夏新兴消费混合A"
